reason,lon,lat
Improve <= 10 min walk coverage,149.15049493474007,-35.190067496708814
Improve <= 10 min walk coverage,149.14721133096697,-35.31703999478218
Improve <= 10 min walk coverage,149.13463097967332,-35.181828226927365
Improve <= 10 min walk coverage,149.13274237958635,-35.26987005033595
Improve <= 10 min walk coverage,149.0704220567878,-35.24035289931269
Improve <= 10 min walk coverage,149.09607358447312,-35.24115499997502
Improve <= 10 min walk coverage,149.14224035422185,-35.15603410698241
Improve <= 10 min walk coverage,149.10510738971996,-35.17071367983913
Improve <= 10 min walk coverage,149.03815029130996,-35.321976499464824
Improve <= 10 min walk coverage,149.1080999501209,-35.20187899457253
Improve <= 10 min walk coverage,149.13309646492863,-35.26193964447334
Improve <= 10 min walk coverage,149.1182852392551,-35.17863482788766
Improve <= 10 min walk coverage,149.0774480896454,-35.418026217264035
Improve <= 10 min walk coverage,149.02715280478466,-35.19209436236208
Improve <= 10 min walk coverage,149.10010421555853,-35.1602609999598
